#The value for each line is the fraction of spaxels with S/N>=3 for that line WITHIN THE DILATED MASK
#flag values: 0=skipped (continuum S/N too low), 1=Normal Run (continuum binned to S/N=10), 
#  2=Low Thresh Run (continuum binned to S/N=4). Use N_MASK*fraction to get pixel number for a line
######################################################################################################
MAGPIID     z        flag   N_MASK    OII_3727     OII_3730     NeIII_3870   NeIII_3969   H5           He           Hd           Hg           OIII_4364    HeII_4687    ArIV_4713    ArIV_4741    Hb           OIII_5008    NI_5199      NI_5202      HeI_5877     OI_6302      Ha           NII_6585     SII_6718     SII_6733     
1201229132   0.5437    1      172           0.151000     0.180000    0.0230000    0.0470000    0.0470000    0.0520000    0.0290000    0.0470000      0.00000    0.0170000    0.0230000      0.00000     0.151000     0.128000      0.00000      0.00000   0.00600000      0.00000      0.00000      0.00000      0.00000      0.00000
1201233238   0.3338    1      142          0.0210000    0.0490000    0.0490000   0.00700000    0.0490000      0.00000    0.0420000      0.00000      0.00000      0.00000    0.0280000      0.00000    0.0350000    0.0920000   0.00700000   0.00700000      0.00000      0.00000    0.0700000      0.00000      0.00000      0.00000
1201252223   0.3460    1     1042          0.0330000    0.0360000    0.0810000    0.0280000    0.0440000    0.0330000    0.0490000      0.00000      0.00000    0.0280000    0.0390000    0.0430000    0.0330000    0.0440000    0.0160000    0.0170000    0.0120000    0.0170000   0.00800000    0.0150000   0.00500000   0.00800000
1201267266   0.9690    1      327          0.0920000    0.0890000    0.0240000    0.0120000    0.0310000    0.0120000    0.0210000    0.0430000    0.0210000      0.00000   0.00900000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201271244   0.1992    1      360            0.00000      0.00000      0.00000    0.0330000      0.00000      0.00000      0.00000      0.00000    0.0310000      0.00000      0.00000      0.00000      0.00000      0.00000    0.0140000      0.00000    0.0220000    0.0110000      0.00000    0.0720000    0.0360000    0.0220000
1201278041   1.4437    1      110           0.182000     0.409000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201278070   0.2984    1      100          0.0700000    0.0900000    0.0600000      0.00000    0.0500000      0.00000    0.0500000    0.0600000      0.00000      0.00000      0.00000    0.0800000     0.110000     0.160000    0.0300000      0.00000      0.00000      0.00000     0.170000    0.0200000    0.0200000    0.0600000
1201290288   0.7574    1      401           0.137000     0.170000    0.0420000    0.0170000    0.0450000    0.0120000    0.0550000    0.0300000      0.00000      0.00000      0.00000    0.0200000    0.0900000     0.145000    0.0100000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201294250   0.8712    1      456           0.143000     0.167000    0.0180000    0.0240000      0.00000    0.0420000    0.0590000    0.0660000      0.00000      0.00000      0.00000      0.00000    0.0680000    0.0390000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201300075   0.4796    1      606           0.190000     0.200000    0.0210000      0.00000    0.0660000      0.00000    0.0690000     0.117000    0.0360000    0.0260000    0.0280000      0.00000     0.185000     0.206000    0.0150000   0.00700000   0.00300000   0.00200000      0.00000      0.00000      0.00000      0.00000
1201302222   0.2992    1      847           0.234000     0.280000     0.113000    0.0370000    0.0710000    0.0540000    0.0990000     0.184000    0.0300000      0.00000    0.0270000    0.0320000     0.260000     0.321000    0.0170000    0.0170000    0.0450000    0.0460000     0.347000    0.0680000     0.130000    0.0990000
1201303336   1.2639    1      298           0.111000     0.131000    0.0270000      0.00000    0.0270000      0.00000    0.0200000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201310142   0.6903    1      127           0.189000     0.291000    0.0790000      0.00000    0.0550000    0.0310000     0.110000     0.181000   0.00800000   0.00800000      0.00000    0.0160000     0.252000     0.213000    0.0160000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201310200   0.8267    1      264           0.129000     0.140000    0.0530000   0.00800000    0.0610000    0.0270000    0.0610000    0.0270000    0.0230000    0.0380000    0.0300000      0.00000    0.0490000     0.140000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201314179   0.3338    1      707          0.0570000    0.0760000    0.0620000      0.00000    0.0450000    0.0310000    0.0500000    0.0330000      0.00000    0.0330000    0.0300000    0.0310000    0.0480000     0.133000    0.0110000    0.0110000    0.0170000      0.00000    0.0830000   0.00300000      0.00000   0.00300000
1201320149   0.2622    1      627          0.0940000     0.134000    0.0530000    0.0210000    0.0650000      0.00000    0.0490000    0.0650000    0.0450000      0.00000      0.00000      0.00000     0.142000     0.196000      0.00000   0.00800000    0.0190000    0.0190000    0.0990000    0.0130000    0.0460000    0.0330000
1201341060   0.3825    1      161           0.217000     0.211000    0.0120000      0.00000    0.0750000      0.00000    0.0560000    0.0810000    0.0190000   0.00600000      0.00000    0.0310000     0.161000     0.292000    0.0120000    0.0120000    0.0430000    0.0120000     0.255000   0.00600000    0.0310000      0.00000
1201358328   0.3494    2      417          0.0290000    0.0240000    0.0620000      0.00000    0.0620000    0.0220000    0.0670000      0.00000      0.00000    0.0310000    0.0380000    0.0430000    0.0310000    0.0430000    0.0190000   0.00700000    0.0220000    0.0170000   0.00700000    0.0360000   0.00700000   0.00200000
1202044210   0.7393    1      126           0.135000     0.159000      0.00000      0.00000    0.0560000      0.00000    0.0870000    0.0240000      0.00000      0.00000    0.0240000      0.00000    0.0400000    0.0400000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202068195   0.4559    1      251           0.104000     0.131000    0.0760000    0.0320000    0.0480000    0.0240000    0.0320000    0.0520000    0.0280000    0.0440000    0.0320000    0.0200000    0.0920000     0.124000      0.00000      0.00000    0.0160000      0.00000      0.00000      0.00000      0.00000      0.00000
1202077074   0.3983    1      981           0.180000     0.187000    0.0630000    0.0250000    0.0530000    0.0410000    0.0810000    0.0840000    0.0240000    0.0230000      0.00000    0.0360000     0.171000     0.174000   0.00700000   0.00900000    0.0190000    0.0510000     0.161000    0.0770000      0.00000      0.00000
1202091312   0.1960    2      717            0.00000      0.00000      0.00000    0.0310000      0.00000    0.0320000    0.0460000    0.0920000    0.0260000    0.0530000    0.0330000    0.0330000      0.00000     0.220000    0.0110000   0.00800000    0.0420000    0.0390000     0.194000    0.0280000    0.0740000    0.0280000
1202098159   0.8444    1      326           0.181000     0.187000    0.0520000      0.00000    0.0580000    0.0250000    0.0740000     0.132000      0.00000      0.00000      0.00000      0.00000     0.126000     0.110000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202124233   0.5589    1      147            0.00000      0.00000    0.0270000    0.0340000    0.0610000    0.0200000    0.0270000    0.0680000    0.0200000    0.0200000    0.0480000      0.00000     0.143000     0.190000    0.0200000      0.00000    0.0200000      0.00000      0.00000      0.00000      0.00000      0.00000
1202130182   0.4825    1      252           0.397000     0.460000    0.0480000      0.00000    0.0790000      0.00000    0.0950000     0.210000    0.0360000    0.0320000    0.0240000      0.00000     0.409000     0.425000      0.00000      0.00000    0.0440000      0.00000      0.00000      0.00000      0.00000      0.00000
1202142230   0.3257    1      116           0.224000     0.362000     0.103000   0.00900000    0.0520000    0.0690000    0.0520000    0.0950000      0.00000    0.0340000    0.0260000      0.00000     0.250000     0.414000      0.00000      0.00000    0.0170000      0.00000     0.302000   0.00900000    0.0170000    0.0340000
1202153285   0.7940    1      243          0.0580000    0.0370000      0.00000    0.0250000    0.0490000    0.0120000      0.00000    0.0210000    0.0120000      0.00000      0.00000   0.00800000    0.0370000    0.0160000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202156126   0.5519    1       24           0.417000     0.708000      0.00000      0.00000     0.125000      0.00000    0.0420000     0.125000    0.0830000      0.00000      0.00000    0.0420000     0.417000     0.458000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
